latitude,longitude,acq_date,acq_time,confidence,frp
-33.67691,150.33623,25/12/2019,1506,n,6.3
-37.14824,148.233,30/12/2019,1512,n,5.1
-29.26756,152.83824,24/11/2019,1448,n,1.2
-11.61279,132.8452,14/10/2019,442,h,11.8
-16.41703,124.07867,23/09/2019,1729,n,2.7
-37.38571,148.19647,01/01/2020,312,l,9.8
-29.29007,152.15224,17/12/2019,254,n,15.6
-12.13629,133.06628,18/09/2019,433,n,4.4
-31.67161,152.09074,08/09/2019,337,n,7.5
-30.87957,123.60047,29/12/2019,554,n,5.9
-28.38843,152.67081,22/11/2019,1524,n,1.4
-30.44218,152.27827,16/11/2019,1354,n,3.5
-27.32533,152.06769,14/11/2019,318,n,11.6
-33.34556,136.99133,30/12/2019,536,n,19.8
-31.77331,152.116,13/11/2019,1454,n,0.8
-20.94398,119.12308,16/11/2019,606,h,9.8
-30.87703,151.94185,13/11/2019,336,h,19.3
-15.13851,141.70258,22/12/2019,1554,n,3.1
-27.32849,152.10204,14/11/2019,318,l,11.1
-26.1333,146.54396,24/12/2019,1524,n,1.1
-29.84504,152.78032,11/10/2019,1548,n,2.4
-15.74616,134.22562,21/10/2019,412,l,15.6
-31.36343,123.71989,11/10/2019,612,h,26.9
-14.97839,128.80943,28/12/2019,436,n,7.9
-14.26826,136.92982,23/10/2019,1624,n,2.7
-13.56425,132.22818,09/12/2019,1553,n,2.6
-20.72228,136.83336,26/12/2019,512,h,120.6
-15.98363,126.70829,14/10/2019,1730,n,0.6
-20.67703,135.34363,16/10/2019,406,l,10.9
-35.40263,147.98442,01/01/2020,1436,n,2.8
-29.97995,152.27802,23/09/2019,1551,n,1.0
-29.99933,152.85866,15/11/2019,1412,n,2.3
-33.09284,123.69094,20/12/2019,1642,n,1.5
-33.38967,150.63354,15/12/2019,1454,n,3.2
-30.72592,151.00819,22/10/2019,1506,n,0.7
-32.58362,150.53615,25/12/2019,348,n,1.4
-26.85511,130.49309,29/10/2019,500,h,26.7
-35.70417,137.0424,24/12/2019,406,n,29.2
-30.82043,152.13503,28/09/2019,300,n,19.9
-13.41307,141.83173,18/09/2019,433,n,5.3
-31.1579,152.52051,29/10/2019,1436,n,1.0
-31.72174,151.97063,11/12/2019,354,n,34.2
-18.94936,139.06802,29/12/2019,1524,n,7.0
-23.04894,148.59102,13/11/2019,336,l,4.8
-31.37298,124.02939,30/10/2019,618,n,9.7
-12.71745,131.31017,28/11/2019,1648,n,0.6
-34.83803,150.14357,31/12/2019,1454,n,1.6
-34.57225,148.62262,25/09/2019,355,n,9.7
-16.58308,137.81633,25/12/2019,354,n,37.5
-31.05938,123.61836,30/10/2019,618,n,10.6
-34.26982,150.37991,30/12/2019,1512,n,2.8
-30.05644,151.85884,18/10/2019,1442,n,1.8
-32.32936,151.9442,18/11/2019,1500,n,1.0
-32.26335,121.54195,19/12/2019,1700,n,1.1
-29.3865,148.29898,26/09/2019,1454,n,0.6
-37.47138,147.80898,31/12/2019,1454,n,0.9
-29.20329,152.88132,25/11/2019,1424,n,1.2
-17.5098,144.83989,17/12/2019,442,h,38.9
-24.97802,130.90581,20/11/2019,448,l,3.1
-22.99061,148.58229,13/12/2019,1530,n,1.9
-32.80095,150.36128,12/09/2019,1506,n,1.5
-13.52769,132.88983,12/12/2019,436,n,42.3
-17.79866,143.24052,22/12/2019,448,l,9.7
-28.69843,124.56485,23/10/2019,512,l,17.9
-11.07384,132.54765,09/12/2019,446,n,3.3
-33.93393,122.10891,28/12/2019,430,h,27.0
-35.20667,149.98732,29/12/2019,1530,n,2.1
-34.11941,150.39116,12/10/2019,1448,n,1.0
-33.84781,150.33748,16/12/2019,312,n,6.1
-29.78947,152.52411,11/11/2019,1530,n,5.3
-28.51506,152.37874,20/10/2019,248,n,11.0
-26.99429,125.96819,12/10/2019,1624,n,1.9
-35.75809,150.00882,31/12/2019,1454,n,2.2
-29.29472,152.75079,11/12/2019,1512,n,12.9
-14.92714,133.05743,21/10/2019,412,n,29.9
-31.15547,152.5517,11/10/2019,1406,n,0.7
-20.76331,136.80035,26/12/2019,1624,n,2.1
-13.83855,135.73412,22/12/2019,448,n,12.4
-11.85755,142.33856,27/09/2019,1611,n,1.0
-34.45371,150.87965,18/10/2019,324,l,6.5
-22.08884,116.53833,25/10/2019,1730,n,1.9
-29.24025,153.11803,19/11/2019,1436,n,1.4
-32.95147,150.53105,21/11/2019,424,n,3.9
-27.93561,122.81698,28/12/2019,430,n,11.1
-34.85002,150.29997,31/12/2019,1454,n,3.2
-25.61212,153.01662,12/10/2019,1442,n,0.8
-30.00892,152.44247,28/09/2019,1417,n,1.2
-29.78423,152.64622,19/11/2019,324,h,62.3
-37.59805,147.93335,21/12/2019,500,n,22.3
-14.69982,126.38184,22/11/2019,412,n,5.4
-31.8665,121.56408,01/01/2020,454,h,27.7
-13.41791,132.39503,28/09/2019,1553,n,10.5
-15.90901,143.636,13/11/2019,342,n,66.0
-37.32134,148.53133,30/12/2019,1512,n,7.0
-28.07326,152.37894,14/11/2019,318,h,116.8
-37.672,148.46881,31/12/2019,1454,n,1.4
-33.21827,136.86987,20/12/2019,1500,n,1.8
-21.98078,127.73306,19/09/2019,553,h,61.7
-14.37699,131.91721,22/10/2019,354,n,54.6
-14.0926,130.86975,22/10/2019,354,n,22.2
-33.34331,150.68465,18/12/2019,418,l,8.2
-13.31077,134.32788,24/10/2019,454,h,11.5
-32.36452,123.59279,01/01/2020,1612,n,4.2
-13.86222,130.92125,20/11/2019,448,n,5.0
-29.08224,153.2122,11/12/2019,354,h,59.4
-28.84261,150.9203,12/09/2019,348,n,7.9
-31.62301,151.82715,13/11/2019,1454,n,3.7
-34.0386,150.27907,27/11/2019,1530,n,1.7
-37.67981,148.15649,30/12/2019,1512,h,20.9
-24.37408,147.81981,20/11/2019,448,n,11.1
-31.61484,151.24478,28/12/2019,248,h,15.8
-14.11241,130.79001,09/09/2019,542,h,14.6
-30.16798,152.94672,15/11/2019,1554,n,3.8
-16.86776,124.27252,22/11/2019,554,n,4.3
-31.23775,152.40666,11/12/2019,1512,n,2.8
-29.63035,152.1403,11/09/2019,1424,n,3.6
-32.58204,150.43768,30/12/2019,1512,n,2.5
-28.10022,129.14201,19/12/2019,1700,n,10.9
-24.01183,149.06664,13/10/2019,1430,n,1.3
-27.23487,125.85991,28/12/2019,612,n,15.1
-30.65376,152.06496,12/09/2019,348,l,56.8
-16.3678,136.94859,08/11/2019,445,l,6.0
-26.42054,146.60977,29/09/2019,1538,n,0.9
-14.70294,131.63275,08/12/2019,427,l,3.0
-27.80342,127.1286,25/10/2019,436,h,7.1
-11.35674,132.46426,13/09/2019,427,h,14.0
-25.52857,150.86974,16/12/2019,1430,n,1.3
-29.5937,152.34221,11/11/2019,1530,n,0.9
-33.93985,150.35809,12/10/2019,330,h,41.5
-16.17317,136.59236,09/10/2019,1632,n,1.2
